label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	16	0.5245901639344263	0.375	0.695	0.855	0.69	0.598	-0.007000000000000006
checkpoint-32	32	1.0491803278688525	0.36	0.69	0.86	0.705	0.595	-0.010000000000000009
checkpoint-48	48	1.5737704918032787	0.3625	0.69	0.86	0.7	0.595	-0.010000000000000009
checkpoint-64	64	2.098360655737705	0.365	0.69	0.85	0.68	0.59	-0.015000000000000013
checkpoint-80	80	2.6229508196721314	0.3525	0.685	0.845	0.68	0.583	-0.02200000000000002
checkpoint-96	96	3.1475409836065573	0.35	0.695	0.835	0.675	0.581	-0.02400000000000002
checkpoint-112	112	3.6721311475409837	0.36	0.69	0.83	0.68	0.584	-0.02100000000000002
checkpoint-128	128	4.19672131147541	0.355	0.675	0.83	0.675	0.578	-0.027000000000000024
checkpoint-144	144	4.721311475409836	0.3425	0.68	0.835	0.68	0.576	-0.029000000000000026
checkpoint-150	150	4.918032786885246	0.3425	0.69	0.835	0.68	0.578	-0.027000000000000024
final	150	4.918032786885246	0.3425	0.69	0.835	0.68	0.578	-0.027000000000000024
