method	utility_metric	utility_auc	utility_max_drawdown	utility_best_final_gap	endpoint_label	u_at_forget_tau
full	utility_avg	0.600473333333	0.008	0.005	final	
d_only	utility_avg	0.599626666667	0.014	0.008	final	
a_only	utility_avg	0.602233333333	0.011	0.011	final	
dpo	utility_avg	0.606113333333	0.008	0.007	final	
ga	utility_avg	0.59322	0.022	0.021	final	
npo	utility_avg	0.604606666667	0.008	0.008	final	
npo_sam	utility_avg	0.604693333333	0.007	0.005	final	
loku	utility_avg	0.582626666667	0.046	0.039	final	
