label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	8	0.5161290322580645	0.385	0.72	0.855	0.705	0.61	0.0050000000000000044
checkpoint-16	16	1.032258064516129	0.36	0.71	0.82	0.68	0.586	-0.019000000000000017
checkpoint-24	24	1.5483870967741935	0.345	0.67	0.845	0.615	0.564	-0.041000000000000036
checkpoint-32	32	2.064516129032258	0.375	0.665	0.855	0.64	0.582	-0.02300000000000002
checkpoint-40	40	2.5806451612903225	0.36	0.665	0.85	0.67	0.581	-0.02400000000000002
checkpoint-48	48	3.096774193548387	0.355	0.69	0.85	0.66	0.582	-0.02300000000000002
checkpoint-56	56	3.6129032258064515	0.355	0.695	0.83	0.675	0.582	-0.02300000000000002
checkpoint-64	64	4.129032258064516	0.3375	0.695	0.835	0.66	0.573	-0.03200000000000003
checkpoint-72	72	4.645161290322581	0.3475	0.68	0.83	0.65	0.571	-0.03400000000000003
checkpoint-75	75	4.838709677419355	0.345	0.675	0.825	0.665	0.571	-0.03400000000000003
final	75	4.838709677419355	0.345	0.675	0.825	0.665	0.571	-0.03400000000000003
