label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9228215767634854	0.9635
checkpoint-16	checkpoint-16	16	1.032258064516129	0.29747579529737206	0.905
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.07261410788381743	0.9051666666666667
checkpoint-32	checkpoint-32	32	2.064516129032258	0.055152143845089895	0.913
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.06673582295988935	0.9385
checkpoint-48	checkpoint-48	48	3.096774193548387	0.04394882434301521	0.929
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.040663900414937754	0.9293333333333332
checkpoint-64	checkpoint-64	64	4.129032258064516	0.0394536652835408	0.933
checkpoint-72	checkpoint-72	72	4.645161290322581	0.03962655601659751	0.944
checkpoint-75	checkpoint-75	75	4.838709677419355	0.03962655601659751	0.944
final	final	75	4.838709677419355	0.03962655601659751	0.944
