method	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	4.5	5.0
full	0.605	0.601	0.607	0.613	0.607	0.61	0.604	0.605	0.605	0.606	0.603
d_only	0.605	0.605	0.602	0.604	0.606	0.607	0.604	0.607	0.602	0.601	0.597
a_only	0.605	0.605	0.605	0.607	0.608	0.611	0.604	0.605	0.603	0.608	0.602
dpo	0.605	0.605	0.604	0.601	0.6	0.605	0.604	0.601	0.601	0.605	0.602
ga	0.605	0.6	0.606	0.605	0.603	0.603	0.603	0.608	0.598	0.599	0.603
npo	0.605	0.601	0.602	0.605	0.606	0.6	0.604	0.609	0.609	0.605	0.605
npo_sam	0.605	0.602	0.606	0.603	0.6	0.606	0.61	0.602	0.605	0.605	0.608
loku	0.605	0.606	0.608	0.614	0.606	0.604	0.602	0.595	0.593	0.594	0.593
