label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.8875	0.9563333333333333	0.3875	0.715	0.855	0.705	0.61	0.0050000000000000044
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.2279564315352697	0.922	0.38	0.69	0.855	0.705	0.602	-0.0030000000000000027
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.20720954356846474	0.9293333333333332	0.3825	0.685	0.85	0.69	0.598	-0.007000000000000006
checkpoint-64	checkpoint-64	64	2.098360655737705	0.12439488243430151	0.9521666666666666	0.385	0.695	0.855	0.675	0.599	-0.006000000000000005
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.10724412171507607	0.9746666666666667	0.3775	0.695	0.85	0.67	0.594	-0.01100000000000001
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.13118948824343016	0.975	0.375	0.7	0.84	0.675	0.593	-0.01200000000000001
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.10957814661134162	0.981	0.38	0.71	0.85	0.665	0.597	-0.008000000000000007
checkpoint-128	checkpoint-128	128	4.19672131147541	0.17519017980636237	0.9853333333333333	0.38	0.705	0.855	0.66	0.596	-0.009000000000000008
checkpoint-144	checkpoint-144	144	4.721311475409836	0.13992047026279392	0.9863333333333333	0.38	0.705	0.84	0.655	0.592	-0.013000000000000012
checkpoint-150	checkpoint-150	150	4.918032786885246	0.12911479944674967	0.9863333333333333	0.3825	0.71	0.84	0.665	0.596	-0.009000000000000008
final	final	150	4.918032786885246	0.12911479944674967	0.9863333333333333	0.3825	0.71	0.84	0.665	0.596	-0.009000000000000008
