label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	45	0.5	0.34	0.695	0.83	0.595	0.56	-0.04299999999999993
checkpoint-90	90	1.0	0.33	0.695	0.81	0.565	0.546	-0.05699999999999994
checkpoint-135	135	1.5	0.3325	0.68	0.8	0.565	0.542	-0.06099999999999994
checkpoint-180	180	2.0	0.32	0.67	0.795	0.57	0.535	-0.06799999999999995
checkpoint-225	225	2.5	0.3175	0.68	0.8	0.585	0.54	-0.06299999999999994
checkpoint-270	270	3.0	0.305	0.69	0.795	0.56	0.531	-0.07199999999999995
checkpoint-315	315	3.5	0.3125	0.645	0.785	0.56	0.523	-0.07999999999999996
checkpoint-360	360	4.0	0.3125	0.635	0.785	0.575	0.524	-0.07899999999999996
checkpoint-405	405	4.5	0.3075	0.625	0.805	0.565	0.522	-0.08099999999999996
checkpoint-450	450	5.0	0.2825	0.605	0.79	0.565	0.505	-0.09799999999999998
final	450	5.0	0.2825	0.605	0.79	0.565	0.505	-0.09799999999999998
