label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	45	0.5	0.4025	0.73	0.85	0.64	0.605	0.0020000000000000018
checkpoint-90	90	1.0	0.405	0.71	0.855	0.64	0.603	0.0
checkpoint-135	135	1.5	0.3875	0.7	0.845	0.635	0.591	-0.01200000000000001
checkpoint-180	180	2.0	0.3925	0.705	0.855	0.63	0.595	-0.008000000000000007
checkpoint-225	225	2.5	0.3875	0.69	0.86	0.645	0.594	-0.009000000000000008
checkpoint-270	270	3.0	0.385	0.69	0.86	0.615	0.587	-0.016000000000000014
checkpoint-315	315	3.5	0.3925	0.695	0.865	0.625	0.594	-0.009000000000000008
checkpoint-360	360	4.0	0.38	0.695	0.865	0.635	0.591	-0.01200000000000001
checkpoint-405	405	4.5	0.3825	0.705	0.87	0.645	0.597	-0.006000000000000005
checkpoint-450	450	5.0	0.3875	0.705	0.87	0.625	0.595	-0.008000000000000007
final	450	5.0	0.3875	0.705	0.87	0.625	0.595	-0.008000000000000007
