slot	label	checkpoint	step	actual_epoch
0.0	base_model_orig	base_model_orig	0	0
0.5	checkpoint-45	checkpoint-45	45	0.5
1.0	checkpoint-90	checkpoint-90	90	1
1.5	checkpoint-135	checkpoint-135	135	1.5
2.0	checkpoint-180	checkpoint-180	180	2
2.5	checkpoint-225	checkpoint-225	225	2.5
3.0	checkpoint-270	checkpoint-270	270	3
3.5	checkpoint-315	checkpoint-315	315	3.5
4.0	checkpoint-360	checkpoint-360	360	4
4.5	checkpoint-405	checkpoint-405	405	4.5
5.0	final	final	450	5
