method	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	4.5	5.0
full	0	0.006	0.001	0	-0.003	0.001	-0.011	-0.006	-0.004	0	-0.001
d_only	0	0.002	0	-0.012	-0.008	-0.009	-0.016	-0.009	-0.012	-0.006	-0.008
a_only	0	-0.001	-0.001	0	-0.002	-0.005	-0.002	-0.001	0.002	0.001	-0.001
dpo	0	0.001	-0.004	0.001	-0.001	0	-0.002	0.001	0.002	0.009	0.004
ga	0	-0.004	-0.004	0.002	-0.008	-0.003	-0.006	-0.005	0.001	-0.008	-0.004
npo	0	0.003	0.002	0.005	-0.002	0.007	0.003	-0.001	-0.003	-0.004	-0.003
npo_sam	0	0.007	0.002	0.001	0.003	0.003	0.002	0	-0.002	-0.007	-0.003
loku	0	0.001	-0.009	-0.012	-0.018	-0.014	-0.024	-0.021	-0.023	-0.024	-0.032
