label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	45	0.5	0.3775	0.67	0.875	0.66	0.592	-0.01100000000000001
checkpoint-90	90	1.0	0.3475	0.695	0.86	0.68	0.586	-0.017000000000000015
checkpoint-135	135	1.5	0.3525	0.72	0.835	0.65	0.582	-0.02100000000000002
checkpoint-180	180	2.0	0.36	0.705	0.82	0.64	0.577	-0.026000000000000023
checkpoint-225	225	2.5	0.335	0.68	0.81	0.61	0.554	-0.04899999999999993
checkpoint-270	270	3.0	0.33	0.685	0.8	0.6	0.549	-0.05399999999999994
checkpoint-315	315	3.5	0.34	0.72	0.795	0.595	0.558	-0.04499999999999993
checkpoint-360	360	4.0	0.3325	0.69	0.82	0.615	0.558	-0.04499999999999993
checkpoint-405	405	4.5	0.335	0.705	0.835	0.605	0.563	-0.040000000000000036
checkpoint-450	450	5.0	0.34	0.715	0.835	0.64	0.574	-0.029000000000000026
final	450	5.0	0.34	0.715	0.835	0.64	0.574	-0.029000000000000026
