label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9118257261410788	0.9615
checkpoint-16	checkpoint-16	16	1.032258064516129	0.904045643153527	0.9515
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.8926348547717843	0.9491666666666666
checkpoint-32	checkpoint-32	32	2.064516129032258	0.8718879668049793	0.9391666666666666
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.8345435684647303	0.9355
checkpoint-48	checkpoint-48	48	3.096774193548387	0.6675311203319502	0.926
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.33973029045643155	0.92
checkpoint-64	checkpoint-64	64	4.129032258064516	0.25933609958506226	0.9038333333333334
checkpoint-72	checkpoint-72	72	4.645161290322581	0.23340248962655602	0.9045
checkpoint-75	checkpoint-75	75	4.838709677419355	0.1690871369294606	0.9045
final	final	75	4.838709677419355	0.1690871369294606	0.9045
