label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	8	0.5161290322580645	0.395	0.685	0.84	0.67	0.597	-0.008000000000000007
checkpoint-16	16	1.032258064516129	0.3575	0.66	0.79	0.61	0.555	-0.04999999999999993
checkpoint-24	24	1.5483870967741935	0.255	0.56	0.715	0.58	0.473	-0.132
checkpoint-32	32	2.064516129032258	0.235	0.545	0.705	0.56	0.456	-0.14899999999999997
checkpoint-40	40	2.5806451612903225	0.2475	0.525	0.7	0.56	0.456	-0.14899999999999997
checkpoint-48	48	3.096774193548387	0.2625	0.57	0.72	0.585	0.48	-0.125
checkpoint-56	56	3.6129032258064515	0.255	0.585	0.685	0.555	0.467	-0.13799999999999996
checkpoint-64	64	4.129032258064516	0.2625	0.56	0.68	0.535	0.46	-0.14499999999999996
checkpoint-72	72	4.645161290322581	0.2625	0.55	0.69	0.54	0.461	-0.14399999999999996
checkpoint-75	75	4.838709677419355	0.265	0.55	0.68	0.54	0.46	-0.14499999999999996
final	75	4.838709677419355	0.265	0.55	0.68	0.54	0.46	-0.14499999999999996
