method	utility_metric	utility_auc	utility_max_drawdown	utility_best_final_gap	endpoint_label	u_at_forget_tau
full	utility_avg	0.5934	0.019	0.014	final	
d_only	utility_avg	0.5883	0.03	0.029	final	
a_only	utility_avg	0.60405	0.008	0.003	final	
dpo	utility_avg	0.59795	0.028	0.01	final	
ga	utility_avg	0.35035	0.291	0.291	final	
npo	utility_avg	0.59695	0.021	0.004	final	
npo_sam	utility_avg	0.59925	0.013	0.007	final	
loku	utility_avg	0.50525	0.135	0.125	final	
