method	utility_metric	utility_auc	utility_max_drawdown	utility_best_final_gap	endpoint_label	u_at_forget_tau
full	utility_avg	0.59104	0.019	0.015	final	
d_only	utility_avg	0.59672	0.015	0.01	final	
a_only	utility_avg	0.593733333333	0.022	0.009	final	
dpo	utility_avg	0.601366666667	0.009	0.009	final	
ga	utility_avg	0.589133333333	0.024	0.023	final	
npo	utility_avg	0.602606666667	0.014	0.013	final	
npo_sam	utility_avg	0.603473333333	0.006	0.005	final	
loku	utility_avg	0.54526	0.086	0.085	final	
