method	utility_metric	utility_auc	utility_max_drawdown	utility_best_final_gap	endpoint_label	u_at_forget_tau
full	utility_avg	0.59704	0.021	0.016	final	
d_only	utility_avg	0.59658	0.019	0.011	final	
a_only	utility_avg	0.6011	0.011	0.008	final	
dpo	utility_avg	0.601966666667	0.013	0.011	final	
ga	utility_avg	0.591533333333	0.027	0.025	final	
npo	utility_avg	0.604306666667	0.004	0	final	
npo_sam	utility_avg	0.605793333333	0.006	0.005	final	
loku	utility_avg	0.546093333333	0.083	0.078	final	
