label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.16192946058091282	0.865
checkpoint-16	checkpoint-16	16	1.032258064516129	0.03893499308437068	0.8785
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.0572268326417704	0.9233333333333333
checkpoint-32	checkpoint-32	32	2.064516129032258	0.02202627939142462	0.9296666666666666
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.025760719225449515	0.9475
checkpoint-48	checkpoint-48	48	3.096774193548387	0.025345781466113413	0.9676666666666667
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.020504840940525588	0.969
checkpoint-64	checkpoint-64	64	4.129032258064516	0.011929460580912862	0.971
checkpoint-72	checkpoint-72	72	4.645161290322581	0.01234439834024896	0.976
checkpoint-75	checkpoint-75	75	4.838709677419355	0.012690179806362377	0.981
final	final	75	4.838709677419355	0.012690179806362377	0.981
