method	utility_metric	utility_auc	utility_max_drawdown	utility_best_final_gap	endpoint_label	u_at_forget_tau
full	utility_avg	0.59942	0.014	0.009	final	
d_only	utility_avg	0.59902	0.015	0.012	final	
a_only	utility_avg	0.599853333333	0.012	0.007	final	
dpo	utility_avg	0.602093333333	0.013	0.013	final	
ga	utility_avg	0.600813333333	0.013	0.01	final	
npo	utility_avg	0.606213333333	0.005	0	final	
npo_sam	utility_avg	0.605226666667	0.006	0.002	final	
loku	utility_avg	0.598426666667	0.018	0.014	final	
