label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.35269709543568467	0.9458333333333334	0.37	0.71	0.855	0.715	0.604	-0.0010000000000000009
checkpoint-16	checkpoint-16	16	1.032258064516129	0.18672199170124482	0.9625	0.3725	0.7	0.85	0.69	0.597	-0.008000000000000007
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.17271784232365145	0.966	0.3725	0.71	0.85	0.705	0.602	-0.0030000000000000027
checkpoint-32	checkpoint-32	32	2.064516129032258	0.19294605809128632	0.98	0.3775	0.7	0.855	0.71	0.604	-0.0010000000000000009
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.20435684647302904	0.986	0.3725	0.7	0.86	0.71	0.603	-0.0020000000000000018
checkpoint-48	checkpoint-48	48	3.096774193548387	0.11410788381742738	0.988	0.375	0.695	0.86	0.695	0.6	-0.0050000000000000044
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.11721991701244813	0.9893333333333333	0.3675	0.7	0.85	0.7	0.597	-0.008000000000000007
checkpoint-64	checkpoint-64	64	4.129032258064516	0.11618257261410789	0.986	0.3725	0.705	0.855	0.705	0.602	-0.0030000000000000027
checkpoint-72	checkpoint-72	72	4.645161290322581	0.10425311203319503	0.994	0.3775	0.705	0.855	0.7	0.603	-0.0020000000000000018
checkpoint-75	checkpoint-75	75	4.838709677419355	0.10114107883817428	0.996	0.3775	0.7	0.855	0.67	0.596	-0.009000000000000008
final	final	75	4.838709677419355	0.10114107883817428	0.996	0.3775	0.7	0.855	0.67	0.596	-0.009000000000000008
