label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	45	0.5	0.3925	0.685	0.86	0.635	0.593	-0.010000000000000009
checkpoint-90	90	1.0	0.395	0.665	0.855	0.665	0.595	-0.008000000000000007
checkpoint-135	135	1.5	0.3975	0.68	0.86	0.65	0.597	-0.006000000000000005
checkpoint-180	180	2.0	0.39	0.7	0.855	0.635	0.594	-0.009000000000000008
checkpoint-225	225	2.5	0.3775	0.685	0.865	0.625	0.586	-0.017000000000000015
checkpoint-270	270	3.0	0.365	0.665	0.865	0.625	0.577	-0.026000000000000023
checkpoint-315	315	3.5	0.365	0.68	0.865	0.63	0.581	-0.02200000000000002
checkpoint-360	360	4.0	0.3625	0.65	0.85	0.655	0.576	-0.027000000000000024
checkpoint-405	405	4.5	0.365	0.625	0.85	0.655	0.572	-0.031000000000000028
checkpoint-450	450	5.0	0.3625	0.63	0.84	0.625	0.564	-0.039000000000000035
final	450	5.0	0.3625	0.63	0.84	0.625	0.564	-0.039000000000000035
