label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	45	0.5	0.375	0.675	0.85	0.67	0.589	-0.014000000000000012
checkpoint-90	90	1.0	0.34	0.655	0.78	0.635	0.55	-0.052999999999999936
checkpoint-135	135	1.5	0.2775	0.62	0.74	0.615	0.506	-0.09699999999999998
checkpoint-180	180	2.0	0.27	0.63	0.685	0.59	0.489	-0.11399999999999999
checkpoint-225	225	2.5	0.275	0.595	0.715	0.555	0.483	-0.12
checkpoint-270	270	3.0	0.2775	0.575	0.705	0.58	0.483	-0.12
checkpoint-315	315	3.5	0.2375	0.615	0.72	0.54	0.47	-0.133
checkpoint-360	360	4.0	0.2375	0.59	0.69	0.585	0.468	-0.13499999999999995
checkpoint-405	405	4.5	0.2475	0.575	0.68	0.62	0.474	-0.129
checkpoint-450	450	5.0	0.2575	0.565	0.675	0.635	0.478	-0.125
final	450	5.0	0.2575	0.565	0.675	0.635	0.478	-0.125
