label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9281811894882435	0.9553333333333333
checkpoint-16	checkpoint-16	16	1.032258064516129	0.8455394190871368	0.9583333333333333
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.2952627939142462	0.9271666666666666
checkpoint-32	checkpoint-32	32	2.064516129032258	0.11652835408022132	0.9015
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.08091286307053942	0.9101666666666667
checkpoint-48	checkpoint-48	48	3.096774193548387	0.07572614107883817	0.9275
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.076417704011065	0.9218333333333333
checkpoint-64	checkpoint-64	64	4.129032258064516	0.060857538035961264	0.9213333333333333
checkpoint-72	checkpoint-72	72	4.645161290322581	0.057745504840940515	0.923
checkpoint-75	checkpoint-75	75	4.838709677419355	0.05878284923928077	0.9263333333333332
final	final	75	4.838709677419355	0.05878284923928077	0.9263333333333332
